numero_alimento,descricao,triptofano_g,treonina_g,isoleucina_g,leucina_g,lisina_g,metionina_g,cistina_g,fenilalanina_g,tirosina_g,valina_g,arginina_g,histidina_g,alanina_g,acido_aspartico_g,acido_glutamico_g,glicina_g,prolina_g,serina_g,categoria
56,"Pastel, de carne, frito",0.11830502666666666,0.30319896533333335,0.4135465533333334,0.8109206040000001,0.388287692,0.18852964000000003,0.07132227093333333,0.4958303480000001,0.36014863733333335,0.5030959613333333,0.4131210373333334,0.17601020666666667,0.311139036,0.5385353653333335,3.37078144,0.29606361200000003,1.1815450400000003,0.4748382253333334,Cereais e derivados
80,"Alface, roxa, crua",0.0018633333333333325,0.025713569999999963,0.03155626666666659,0.06001079999999992,0.05475619999999992,0.006675176666666671,0.0016479319999999978,0.037060839999999984,0.03601851999999998,0.042147453333333286,0.06295056666666661,0.016078846666666664,0.047191066666666615,0.05255459999999997,0.10550336666666649,0.03678363333333331,0.029785669999999948,0.030913846666666633,"Verduras, hortaliças e derivados"
83,"Alho-poró, cru",0.007799999999999997,0.03289740000000004,0.03875580000000001,0.07059599999999999,0.0756393,0.009521699999999994,0.0036745800000000015,0.04859670000000003,0.05521499999999998,0.0507012,0.08287650000000002,0.022205399999999997,0.06452759999999998,0.05421480000000001,0.18196199999999996,0.04686389999999999,0.03357899999999999,0.04344600000000002,"Verduras, hortaliças e derivados"
123,"Farinha, de puba",0.0,0.006935933333333334,0.026614666666666665,0.04116166666666667,0.024508000000000002,0.0006184233333333334,0.01982,0.023054,0.004122533333333333,0.017557333333333335,0.023051666666666665,0.03726466666666667,0.039829333333333335,0.088487,0.3187,0.008561299999999999,0.06191733333333333,0.010600333333333335,"Verduras, hortaliças e derivados"
147,"Quiabo, cru",0.0056539000000000025,0.04983903000000001,0.044872988333333357,0.07650692000000002,0.06663754833333337,0.009292818333333336,0.003676249833333334,0.04858676666666669,0.025379181666666677,0.058856048333333355,0.10873415000000003,0.023005988333333338,0.06693600333333335,0.27017565000000004,0.3281363333333334,0.04915281333333335,0.040642741666666676,0.05564856000000002,"Verduras, hortaliças e derivados"
151,"Repolho, roxo, refogado",0.008287133333333335,0.032547821333333345,0.05969764800000003,0.07210016333333336,0.06739500666666669,0.009562762933333338,0.0037528514666666673,0.04739903733333337,0.04439758066666669,0.07116796600000003,0.06701598599999999,0.04341364133333334,0.09548712666666674,0.16896918000000008,0.5256776866666669,0.06060502600000003,0.08362390600000007,0.08100988333333341,"Verduras, hortaliças e derivados"
176,"Banana, doce em barra",0.00448392,0.00786804872,0.018766084399999997,0.03852522519999999,0.0036774243010399992,0.00356357344,0.0203064428,0.0124261732,0.0143186512,0.0265711824,0.0112001288,0.0280754936,0.020723183599999997,0.0801219356,0.08895174119999999,0.000832576024,0.00475154848,0.0272758612,Frutas e derivados
185,"Cajá, polpa, congelada",0.0,0.02036191200000001,0.021099584000000008,0.03544564800000002,0.03483884800000001,0.0056871592000000025,0.0034025080000000007,0.018780952000000007,0.01698056000000001,0.02629969600000001,0.03367772800000002,0.006828664800000003,0.06183554400000002,0.06594702400000002,0.08171726400000003,0.021965176000000013,0.02244307200000001,0.024876832000000012,Frutas e derivados
224," Mamão, doce em calda, drenado",0.0,0.012533971999999999,0.0074503385000000005,0.00922841975,0.0016085010573499998,0.00544197665,0.013722005,0.0038950307,0.01622536025,0.0024455480225,0.019824013550000002,0.0343453055,0.0055344674,0.036658184749999996,0.021463450250000002,0.0015072431000000004,0.004112368700000001,0.028845066800000003,Frutas e derivados
227," Mamão verde, doce em calda, drenado",0.0,0.0168082432,0.0010672582576,0.004034243512,0.003966700960000001,0.005519135848000001,0.0115146904,0.00589318696,0.0189543376,0.009924455200000001,0.018785504800000002,0.0368688496,0.007087856656000001,0.006991103200000001,0.00633916336,0.0138198712,0.006815202688000001,0.032525728000000004,Frutas e derivados
229,"Manga, Palmer, crua",0.023526466666666652,0.01421843966666666,0.016603525333333338,0.028223896,0.023443239333333334,0.005896033999999998,0.0012275900599999997,0.017135131733333333,0.008613111533333334,0.018821632066666663,0.022399948666666673,0.009545126599999997,0.028853671333333327,0.03194881066666666,0.044689146000000006,0.02239732733333333,0.015840061999999995,0.021417604000000003,Frutas e derivados
248,"Pitanga, polpa, congelada",0.0017316599999999997,0.009742648999999997,0.011527774999999997,0.02126656699999999,0.018141598999999994,0.0025258960999999997,0.0022449202999999993,0.011219347999999997,0.011638696999999998,0.014792791999999994,0.015674980999999994,0.0030653041999999992,0.016237969999999994,0.029608459999999993,0.03988989199999999,0.013588210999999998,0.012141835999999996,0.012444277999999996,Frutas e derivados
