numero_alimento,descricao,saturados_g,monoinsaturados_g,poliinsaturados_g,c12_0_g,c14_0_g,c16_0_g,c18_0_g,c20_0_g,c22_0_g,c24_0_g,c14_1_g,c16_1_g,c18_1_g,c20_1_g,c18_2n6_g,c18_3n3_g,c20_4_g,c20_5_g,c22_5_g,c22_6_g,c18_1t_g,c18_2t_g,categoria
274,"Abadejo, filé, congelado,cozido",0.38099999999999995,0.25933333333333336,0.174,,1e-05,0.28833333333333333,0.08133333333333333,,,,,0.011333333333333334,0.22166666666666668,0.015333333333333332,0.028,,1e-05,0.06233333333333333,1e-05,0.08366666666666667,,,Pescados e frutos do mar
275,"Abadejo, filé, congelado, cru",0.1,1e-05,0.1,1e-05,1e-05,0.06,0.02,,,,,1e-05,0.04,1e-05,1e-05,,0.01,0.01,1e-05,0.08,,,Pescados e frutos do mar
276,"Abadejo, filé, congelado, grelhado",0.5546666666666666,0.32266666666666666,0.5623333333333334,,0.013333333333333334,0.41933333333333334,0.10566666666666667,,,,,0.014666666666666666,0.27466666666666667,0.015666666666666666,0.020666666666666667,0.021333333333333333,1e-05,0.103,,0.41733333333333333,,,Pescados e frutos do mar
277,"Atum, conserva em óleo",1.0,1.3,3.2,,0.02,0.7,0.26,0.02,0.02,,,0.02,1.27,0.02,2.68,0.29,0.03,0.03,,0.19,,0.04,Pescados e frutos do mar
278,"Atum, fresco, cru",0.5,0.2,1e-05,,0.01,0.27,0.17,1e-05,1e-05,1e-05,,0.02,0.18,1e-05,0.01,0.01,1e-05,1e-05,,0.01,1e-05,,Pescados e frutos do mar
279,"Bacalhau, salgado, cru",0.6,0.3,0.2,1e-05,0.03,0.43,0.14,,1e-05,1e-05,,0.03,0.28,1e-05,0.02,0.08,0.03,0.02,,0.06,1e-05,,Pescados e frutos do mar
280,"Bacalhau, salgado, refogado",0.9,1.1,1.2,,0.02,0.65,0.23,0.02,0.02,1e-05,,0.02,1.01,0.03,1.08,0.07,1e-05,0.04,,0.04,0.03,0.01,Pescados e frutos do mar
281,"Cação, posta, com farinha de trigo, frita",1.496,2.212666666666667,5.216333333333335,,0.005999999999999999,1.0273333333333332,0.3706666666666667,0.02666666666666667,0.041666666666666664,0.017666666666666667,,0.005999999999999999,2.168,0.02666666666666667,4.62,0.46900000000000003,0.017666666666666667,0.011666666666666667,0.017666666666666667,0.06566666666666666,,,Pescados e frutos do mar
282,"Cação, posta, cozida",0.2,0.1,0.2,,,0.07,0.12,,,,,1e-05,0.08,0.01,1e-05,,0.03,0.01,0.01,0.12,,,Pescados e frutos do mar
283,"Cação, posta, crua",0.1,0.1,0.2,1e-05,1e-05,0.07,0.07,,,,,1e-05,0.06,0.01,1e-05,,0.02,0.02,0.02,0.1,,,Pescados e frutos do mar
284,"Camarão, Rio Grande, grande, cozido",0.4,0.2,0.2,,0.01,0.23,0.14,0.01,0.01,1e-05,,0.05,0.16,0.01,0.03,1e-05,0.04,0.08,0.01,0.09,0.01,,Pescados e frutos do mar
285,"Camarão, Rio Grande, grande, cru",0.1,0.1,0.2,,1e-05,0.08,0.04,1e-05,,,,0.02,0.06,1e-05,0.02,1e-05,0.02,0.08,0.01,,1e-05,,Pescados e frutos do mar
286,"Camarão, Sete Barbas, sem cabeça, com casca, frito",2.4683333333333333,3.6086666666666667,8.826333333333334,,,1.692,0.5873333333333334,0.045,0.08466666666666667,0.029666666666666664,,0.045,3.544,,7.760666666666666,0.8216666666666667,0.045,0.08466666666666667,,0.09933333333333333,,,Pescados e frutos do mar
287,"Caranguejo, cozido",0.2,0.2,1e-05,,,0.1,0.09,0.01,0.01,,,0.01,0.14,,0.03,1e-05,,,,,,,Pescados e frutos do mar
288,"Corimba, cru",2.5,2.3,0.3,,0.3,1.57,0.31,0.01,0.02,,,1.21,1.02,0.01,0.09,0.12,0.03,0.04,0.01,0.03,0.04,,Pescados e frutos do mar
289,"Corimbatá, assado",4.8,6.393333333333333,2.5833333333333335,,0.51,3.2533333333333334,0.83,,,,,2.91,3.2199999999999998,0.26333333333333336,0.43,0.16666666666666666,0.16,0.8366666666666666,0.32666666666666666,0.25666666666666665,,,Pescados e frutos do mar
290,"Corimbatá, cozido",4.45,6.473333333333334,2.2833333333333337,,0.5233333333333333,3.1466666666666665,0.6766666666666666,,,,,3.1233333333333335,3.106666666666667,0.24333333333333332,0.2066666666666667,0.17,0.16333333333333333,0.8933333333333334,0.3633333333333333,0.2866666666666667,,,Pescados e frutos do mar
291,"Corvina de água doce, crua",1.2,0.7,0.1,,0.04,0.75,0.26,0.01,0.01,0.01,,0.18,0.49,1e-05,0.04,0.03,0.02,0.01,1e-05,1e-05,0.01,,Pescados e frutos do mar
292,"Corvina do mar, crua",0.7,0.5,0.1,,0.05,0.46,0.13,0.01,1e-05,0.01,,0.2,0.27,0.02,0.01,0.02,0.02,0.03,0.03,0.04,0.01,,Pescados e frutos do mar
293,"Corvina grande, assada",1.5,1.2,0.3,,0.12,0.99,0.32,0.02,0.01,1e-05,0.01,0.42,0.69,0.03,0.03,,0.04,0.05,0.04,0.05,0.02,,Pescados e frutos do mar
294,"Corvina grande, cozida",0.7466666666666666,0.62,0.6266666666666667,,0.056666666666666664,0.49,0.16666666666666666,,,,,0.23,0.33333333333333337,0.02666666666666667,0.02,0.013333333333333334,0.08666666666666667,0.17333333333333334,0.1,0.20333333333333334,0.01,,Pescados e frutos do mar
295,"Dourada de água doce, fresca",2.9736666666666665,1.4186666666666667,0.357,0.005,0.19299999999999998,1.848,0.66,0.028666666666666663,0.04566666666666667,0.037333333333333336,,0.29466666666666663,1.0493333333333335,0.07466666666666667,0.137,,0.06266666666666666,0.022000000000000002,0.025333333333333333,0.044000000000000004,0.02033333333333333,,Pescados e frutos do mar
296,"Lambari, congelado, cru",2.0,2.2,1.2,0.02,0.16,1.24,0.47,0.02,0.04,,,0.34,1.82,0.02,0.49,0.17,0.21,0.13,0.06,0.18,0.01,,Pescados e frutos do mar
297,"Lambari, congelado, frito",5.5,7.0,8.1,,0.22,3.4,1.39,0.09,0.12,0.04,0.04,0.02,6.72,0.11,6.43,0.78,0.34,0.03,0.08,0.23,0.04,0.06,Pescados e frutos do mar
298,"Lambari, fresco,cru",3.4033333333333333,3.2840000000000003,1.1023333333333332,0.025333333333333336,0.14933333333333332,2.1060000000000003,0.8826666666666667,0.042333333333333334,0.025333333333333336,0.042333333333333334,,0.38633333333333336,2.8356666666666666,0.050666666666666665,0.5723333333333332,,0.11833333333333333,0.09866666666666667,0.04766666666666667,0.121,0.08466666666666667,0.02266666666666667,Pescados e frutos do mar
299,"Manjuba, com farinha de trigo, frita",5.463333333333333,5.363666666666666,10.425333333333334,,0.2806666666666667,3.736666666666667,1.08,0.08633333333333333,0.10766666666666667,0.043333333333333335,,0.30266666666666664,4.902666666666667,0.09366666666666668,7.530666666666666,0.8423333333333334,0.08633333333333333,0.43933333333333335,0.17299999999999996,1.1596666666666666,,0.043333333333333335,Pescados e frutos do mar
300,"Manjuba, frita",5.3,6.0,11.7,,0.21,3.59,1.17,0.09,0.13,0.06,,0.23,5.53,0.15,8.92,0.87,0.08,0.35,0.14,1.13,,,Pescados e frutos do mar
301,"Merluza, filé, assado",0.2,0.1,0.3,,,0.12,0.06,,,1e-05,,1e-05,0.1,1e-05,0.02,,0.02,0.03,1e-05,0.23,,,Pescados e frutos do mar
302,"Merluza, filé, cru",0.9,0.5,0.4,,0.17,0.59,0.08,1e-05,,0.02,,0.15,0.35,1e-05,0.03,0.05,0.02,0.03,0.02,0.11,,,Pescados e frutos do mar
303,"Merluza, filé, frito",1.4000000000000001,2.086666666666667,4.2733333333333325,,0.08,1.0333333333333334,0.26,,0.02666666666666667,,,0.1366666666666667,1.7733333333333334,0.09666666666666668,3.07,0.35666666666666663,,0.19,1e-05,0.6,,,Pescados e frutos do mar
304,"Pescada, branca, crua",0.8,2.4,0.9,,0.04,0.4,0.22,0.02,0.01,0.01,,0.75,1.61,1e-05,0.04,0.05,0.05,0.18,0.13,0.43,0.01,,Pescados e frutos do mar
305,"Pescada, branca, frita",2.3,3.2,5.2,,0.14,1.55,0.48,0.04,0.05,0.02,,0.16,2.78,0.19,4.21,0.41,0.02,0.01,0.03,0.45,0.01,0.06,Pescados e frutos do mar
306,"Pescada, filé, com farinha de trigo, frito",2.1766666666666667,4.4399999999999995,9.053333333333335,,,1.5466666666666666,0.5266666666666667,0.043333333333333335,0.06,,,0.46,3.913333333333333,0.06666666666666667,6.626666666666668,0.7533333333333333,0.05333333333333334,0.2233333333333333,0.08333333333333333,0.54,,,Pescados e frutos do mar
307,"Pescada, filé, cru",0.9,2.3,0.3,,0.05,0.47,0.24,0.02,0.01,0.01,,0.77,1.51,1e-05,0.03,0.04,0.02,0.06,0.04,0.13,0.01,,Pescados e frutos do mar
308,"Pescada, filé, frito",1.0,1.1,1.2,,0.06,0.64,0.23,0.02,0.01,1e-05,,0.1,0.98,0.04,0.87,0.07,0.02,0.02,0.01,0.12,0.02,0.01,Pescados e frutos do mar
309,"Pescada, filé, molho escabeche",1.3066666666666666,2.9466666666666663,4.3,,,0.9633333333333333,0.2833333333333333,0.02666666666666667,0.03333333333333333,,,0.09,2.82,0.03666666666666667,3.7466666666666666,0.4066666666666667,,0.03,0.016666666666666666,0.1,,,Pescados e frutos do mar
310,"Pescadinha, crua",0.3,0.2,0.4,,0.02,0.19,0.05,,,1e-05,,0.03,0.15,0.01,0.01,0.01,0.01,0.09,0.01,0.23,,,Pescados e frutos do mar
311,"Pintado, assado",1.8,1.3,0.3,1e-05,0.16,1.05,0.46,0.02,0.01,,0.02,0.18,0.97,0.06,0.12,0.06,0.04,0.01,,0.02,1e-05,0.01,Pescados e frutos do mar
312,"Pintado, cru",0.6,0.4,0.1,,0.03,0.4,0.12,1e-05,1e-05,1e-05,,0.12,0.32,1e-05,0.02,0.02,0.01,0.01,0.01,0.01,1e-05,,Pescados e frutos do mar
313,"Pintado, grelhado",1.1,0.7,0.2,1e-05,0.04,0.61,0.34,0.01,0.01,,0.01,0.09,0.5,0.03,0.09,0.02,0.02,0.01,1e-05,1e-05,1e-05,1e-05,Pescados e frutos do mar
314,"Porquinho, cru",0.4,0.1,1e-05,1e-05,0.01,0.19,0.14,1e-05,1e-05,1e-05,,0.01,0.11,1e-05,0.02,1e-05,1e-05,1e-05,,1e-05,1e-05,,Pescados e frutos do mar
315,"Salmão, filé, com pele, fresco,  grelhado",3.14,4.36,6.970000000000001,,0.5066666666666667,2.0233333333333334,0.61,,,,,0.6933333333333334,3.3700000000000006,0.23,2.99,0.39666666666666667,0.09333333333333334,1.2066666666666668,0.5933333333333334,1.22,,,Pescados e frutos do mar
316,"Salmão, sem pele, fresco, cru",2.472333333333333,2.9,3.1326666666666667,0.012333333333333333,0.3013333333333334,1.389333333333333,0.49333333333333335,0.042,0.11933333333333333,0.068,,0.363,2.2556666666666665,0.18933333333333335,1.7343333333333335,0.02666666666666667,0.044333333333333336,0.429,0.217,0.4613333333333333,,,Pescados e frutos do mar
317,"Salmão, sem pele, fresco, grelhado",3.578666666666667,4.145666666666667,4.979333333333333,0.013,0.423,2.000666666666667,0.7323333333333334,0.052,0.17466666666666666,0.10466666666666667,,0.5363333333333334,3.1823333333333337,0.2876666666666667,2.4330000000000003,0.3313333333333333,0.07400000000000001,0.7153333333333333,0.35733333333333334,0.7456666666666667,0.021666666666666667,,Pescados e frutos do mar
318,"Sardinha, assada",1.7,0.5,0.3,,0.16,1.07,0.36,0.03,0.02,0.01,1e-05,0.11,0.33,0.02,0.04,0.02,0.02,0.05,1e-05,0.18,,,Pescados e frutos do mar
319,"Sardinha, conserva em óleo",4.1,5.5,11.9,,0.32,2.66,0.84,0.11,0.11,0.04,,0.33,5.03,0.09,9.78,0.99,0.09,0.44,0.06,0.46,,0.07,Pescados e frutos do mar
320,"Sardinha, frita",2.6,3.1,6.1,,0.07,1.71,0.62,0.06,0.07,0.02,,0.06,2.92,0.04,5.13,0.43,0.03,0.09,0.01,0.36,,0.09,Pescados e frutos do mar
321,"Sardinha, inteira, crua",1.7,0.5,0.2,1e-05,0.21,1.0,0.27,0.02,0.01,0.01,,0.13,0.28,0.02,0.03,0.02,0.01,0.03,1e-05,0.06,1e-05,,Pescados e frutos do mar
322,"Tucunaré, filé, congelado, cru",0.6,0.4,0.4,1e-05,0.03,0.37,0.17,0.01,0.02,1e-05,,0.08,0.26,0.01,0.09,0.02,0.1,,0.02,0.12,0.01,1e-05,Pescados e frutos do mar
323,Apresuntado,1.9333333333333333,2.5866666666666664,1.1333333333333333,,0.06666666666666667,1.2333333333333334,0.6133333333333334,,,,,0.13333333333333333,2.393333333333333,0.043333333333333335,1.0033333333333334,0.043333333333333335,,,,,,,Carnes e derivados
324,"Caldo de carne, tablete",7.8,2.5,0.1,,0.14,3.91,3.64,0.05,0.02,,,0.03,2.47,,0.13,,,,,,5.32,0.1,Carnes e derivados
325,"Caldo de galinha, tablete",9.4,3.2,0.2,0.09,0.12,3.98,5.07,0.07,0.05,0.02,,0.04,3.14,,0.25,,,,,,6.19,0.11,Carnes e derivados
326,"Carne, bovina, acém, moído, cozido",4.8,4.6,0.3,,0.27,2.5,1.83,0.01,0.01,,,0.33,4.17,0.03,0.22,0.02,0.02,,,,0.22,0.02,Carnes e derivados
327,"Carne, bovina, acém, moído, cru",2.7,2.4,0.1,,0.14,1.35,1.09,0.01,0.01,,,0.18,2.22,0.01,0.12,0.01,0.01,,,,0.1,,Carnes e derivados
328,"Carne, bovina, acém, sem gordura, cozido",5.5,3.7,0.3,0.01,0.36,2.68,2.16,0.01,0.01,,,0.33,3.32,0.04,0.22,0.03,0.01,,,,0.28,0.02,Carnes e derivados
329,"Carne, bovina, acém, sem gordura, cru",2.8,2.3,0.2,,0.14,1.33,1.19,0.01,,,,0.16,2.12,0.01,0.14,0.02,0.02,0.01,,,0.17,0.02,Carnes e derivados
330,"Carne, bovina, almôndegas, cruas",3.9,3.5,0.9,0.01,0.25,2.1,1.42,0.02,0.02,,,0.29,3.22,0.02,0.81,0.09,0.02,,,,0.25,0.11,Carnes e derivados
331,"Carne, bovina, almôndegas, fritas",4.2,5.0,5.5,,0.17,2.47,1.4,0.05,0.06,0.02,0.05,0.27,4.59,0.05,4.89,0.52,0.03,,,,0.17,0.05,Carnes e derivados
332,"Carne, bovina, bucho, cozido",2.4,1.4,0.1,,0.11,1.08,1.1,0.01,,0.01,,0.09,1.29,,0.07,0.01,0.01,,,,0.13,0.01,Carnes e derivados
333,"Carne, bovina, bucho, cru",3.3,1.4,0.1,0.01,0.07,1.52,1.49,0.01,,0.02,,0.14,1.26,0.01,0.09,0.01,0.01,,,,0.07,0.01,Carnes e derivados
334,"Carne, bovina, capa de contra-filé, com gordura, crua",6.9,6.2,0.1,0.01,0.53,3.82,2.03,0.01,,,,0.73,5.33,0.01,0.14,,0.01,,,,0.28,0.03,Carnes e derivados
335,"Carne, bovina, capa de contra-filé, com gordura, grelhada",8.8,8.7,0.3,,0.53,4.93,2.82,0.02,,,,0.88,7.67,0.04,0.22,,0.04,0.02,,,0.28,0.02,Carnes e derivados
336,"Carne, bovina, capa de contra-filé, sem gordura, crua",1.9,1.9,0.1,,0.12,1.05,0.58,1e-05,1e-05,1e-05,,0.2,1.66,0.01,0.07,1e-05,0.01,,,,0.06,1e-05,Carnes e derivados
337,"Carne, bovina, capa de contra-filé, sem gordura, grelhada",4.3,4.3,0.2,0.01,0.27,2.42,1.29,0.01,0.01,,,0.44,3.85,,0.16,0.04,0.04,,,,0.14,0.01,Carnes e derivados
338,"Carne, bovina, charque, cozido",4.8,5.4,0.4,,0.31,2.61,1.73,0.01,0.02,,0.1,0.5,4.68,0.02,0.19,0.05,0.06,0.02,0.04,,0.32,0.08,Carnes e derivados
339,"Carne, bovina, charque, cru",8.7,6.6,0.2,,0.8,4.45,3.14,,,,,0.54,5.7,,0.16,,,,,,0.8,,Carnes e derivados
340,"Carne, bovina, contra-filé, à milanesa",7.242666666666666,8.076333333333334,6.903999999999999,,0.329,4.206666666666666,2.3480000000000003,0.04566666666666667,0.061,0.023000000000000003,0.09200000000000001,0.451,7.364666666666667,0.031,6.2236666666666665,0.6116666666666667,0.04566666666666667,,0.023000000000000003,,0.35933333333333334,,Carnes e derivados
341,"Carne, bovina, contra-filé de costela, cru",6.7,4.6,0.1,0.01,0.4,3.15,2.85,0.02,0.01,,,0.35,4.21,0.02,0.13,,,,,,0.24,0.01,Carnes e derivados
342,"Carne, bovina, contra-filé de costela, grelhado",8.8,5.6,0.2,0.02,0.59,4.28,3.53,0.02,,,,0.47,5.06,,0.17,0.03,0.02,,,,0.23,0.02,Carnes e derivados
343,"Carne, bovina, contra-filé, com gordura, cru",5.6,5.5,0.2,0.01,0.41,3.21,1.57,0.01,0.01,,,0.62,4.81,0.01,0.15,0.05,0.02,,,,0.17,0.02,Carnes e derivados
344,"Carne, bovina, contra-filé, com gordura, grelhado",7.4,6.3,0.2,0.01,0.5,4.24,2.24,0.01,,,,0.63,5.58,,0.14,0.03,0.01,,,,0.19,0.01,Carnes e derivados
345,"Carne, bovina, contra-filé, sem gordura, cru",2.7,2.6,0.1,,0.15,1.48,0.89,0.01,,,,0.22,2.32,0.01,0.09,,0.02,0.01,,,0.08,0.01,Carnes e derivados
346,"Carne, bovina, contra-filé, sem gordura, grelhado",2.0333333333333337,1.9,0.1,,0.09,1.12,0.68,,,0.01,,0.16,1.75,,0.07,0.01,0.01,,,,0.04,,Carnes e derivados
347,"Carne, bovina, costela, assada",11.8,12.1,0.3,0.03,0.89,6.32,3.76,0.03,,,,1.17,10.64,0.08,0.13,0.15,0.03,,,,0.76,0.1,Carnes e derivados
348,"Carne, bovina, costela, crua",14.9,12.7,0.3,0.03,1.11,7.76,5.15,0.03,,,,1.31,11.05,0.12,0.15,0.12,,,,,0.76,0.15,Carnes e derivados
349,"Carne, bovina, coxão duro, sem gordura, cozido",3.5,4.1,0.2,,0.2,1.99,1.14,0.01,0.01,,,0.45,3.59,0.01,0.11,0.02,0.02,,,,0.16,0.08,Carnes e derivados
350,"Carne, bovina, coxão duro, sem gordura, cru",2.86,2.4,0.1,,0.21,1.66,0.98,0.01,,,,0.22,2.12,,0.05,0.01,0.01,,,,0.1,0.04,Carnes e derivados
351,"Carne, bovina, coxão mole, sem gordura, cozido",4.3,3.4,0.2,,0.26,2.36,1.46,0.01,,,,0.28,3.1,0.01,0.14,0.01,0.02,,,,0.15,0.05,Carnes e derivados
352,"Carne, bovina, coxão mole, sem gordura, cru",3.9,3.7,0.1,,0.29,2.34,1.06,0.01,,,,0.45,3.23,,0.08,0.01,0.01,,,,0.12,0.02,Carnes e derivados
353,"Carne, bovina, cupim, assado",5.5,5.4,0.2,0.02,0.4,3.07,1.65,0.01,0.01,,,0.61,4.71,0.02,0.16,0.03,0.02,,,,0.22,0.01,Carnes e derivados
354,"Carne, bovina, cupim, cru",6.8,6.4,0.2,0.01,0.46,3.8,2.06,0.01,0.01,,,0.71,5.56,0.04,0.15,0.06,,,,,0.3,0.03,Carnes e derivados
355,"Carne, bovina, fígado, cru",2.79,1.5,0.1,1e-05,0.18,1.28,1.44,0.01,0.01,1e-05,,0.09,1.43,0.01,0.05,1e-05,1e-05,,1e-05,,0.16,0.05,Carnes e derivados
356,"Carne, bovina, fígado, grelhado",4.7,2.2,1.1,,0.14,2.3,1.86,0.01,0.12,0.02,,0.23,1.89,,0.37,0.1,0.31,0.07,0.16,0.04,0.09,0.02,Carnes e derivados
357,"Carne, bovina, filé mingnon, sem gordura, cru",2.9,1.9,0.2,,0.17,1.44,1.16,0.01,0.01,,,0.15,1.69,0.01,0.11,0.02,0.03,0.01,,,0.1,0.01,Carnes e derivados
358,"Carne, bovina, filé mingnon, sem gordura, grelhado",4.5,3.1,0.2,,0.25,2.21,1.76,0.01,,0.01,,0.23,2.87,,0.16,0.02,0.02,,,,0.14,0.02,Carnes e derivados
359,"Carne, bovina, flanco, sem gordura, cozido",3.9,2.8,0.1,,0.27,2.07,1.4,0.01,,,,0.28,2.49,0.01,0.08,0.01,,,,,0.16,,Carnes e derivados
360,"Carne, bovina, flanco, sem gordura, cru",3.1,2.3,0.1,,0.19,1.65,1.13,0.01,,,,0.18,2.09,,0.07,0.01,0.01,,,,0.11,0.02,Carnes e derivados
361,"Carne, bovina, fraldinha, com gordura, cozida",12.1,10.4,0.5,0.02,0.95,6.35,3.98,0.02,,,,1.1,9.07,0.07,0.29,0.12,0.05,,,,0.5,0.05,Carnes e derivados
362,"Carne, bovina, fraldinha, com gordura, crua",7.3,6.5,0.3,0.01,0.59,3.77,2.39,0.01,,,,0.71,5.63,0.06,0.16,0.09,0.01,,,,0.43,,Carnes e derivados
363,"Carne, bovina, lagarto, cozido",3.9,4.0,0.2,,0.22,2.22,1.25,0.01,0.02,,,0.42,3.54,0.01,0.12,0.02,0.01,,,,0.15,0.07,Carnes e derivados
364,"Carne, bovina, lagarto, cru",2.3,2.3,0.1,,0.14,1.36,0.66,,1e-05,,,0.25,1.98,,0.06,0.01,1e-05,,,,0.08,1e-05,Carnes e derivados
365,"Carne, bovina, língua, cozida",11.2,10.3,0.5,,0.68,5.54,4.2,0.02,0.02,,,0.77,9.31,,0.43,0.09,0.02,,,,0.41,0.02,Carnes e derivados
366,"Carne, bovina, língua, crua",6.8,6.8,0.3,0.01,0.41,3.4,2.63,0.01,,,,0.48,6.11,0.06,0.26,0.04,0.01,,0.01,,0.29,0.01,Carnes e derivados
367,"Carne, bovina, maminha, crua",3.1,3.1,0.1,0.01,0.21,1.71,0.93,0.01,,,,0.32,2.7,0.01,0.09,0.01,0.01,,,,0.08,0.01,Carnes e derivados
368,"Carne, bovina, maminha, grelhada",9.7,7.7,0.2,0.02,0.63,4.96,3.49,0.04,0.02,,,0.77,6.79,0.04,0.19,0.04,0.02,,,,0.42,0.06,Carnes e derivados
369,"Carne, bovina, miolo de alcatra, sem gordura, cru",3.4,3.3,0.1,,0.2,1.79,1.1,0.01,0.01,,,0.36,2.85,0.02,,0.04,0.03,0.01,,,0.16,0.01,Carnes e derivados
370,"Carne, bovina, miolo de alcatra, sem gordura, grelhado",5.1,4.9,0.3,,0.32,2.82,1.61,0.01,0.01,,,0.52,4.28,0.03,0.16,0.04,0.04,0.01,,,0.21,0.01,Carnes e derivados
371,"Carne, bovina, músculo, sem gordura, cozido",2.9,2.8,0.1,,0.13,1.64,0.99,0.01,0.01,0.01,,0.26,2.48,0.01,0.09,0.03,0.01,,,,0.13,0.05,Carnes e derivados
372,"Carne, bovina, músculo, sem gordura, cru",2.2,2.6,0.1,,0.12,1.27,0.71,0.01,0.01,,,0.21,2.35,0.01,0.07,0.01,0.01,,,,0.08,0.02,Carnes e derivados
373,"Carne, bovina, paleta, com gordura, crua",3.5,2.9,0.2,0.01,0.19,1.72,1.38,0.01,,,,0.24,2.6,0.02,0.12,0.01,0.01,,,,0.2,0.01,Carnes e derivados
374,"Carne, bovina, paleta, sem gordura, cozida",3.4,3.0,0.2,0.01,0.18,1.68,1.31,0.01,0.01,0.01,,0.23,2.69,0.02,0.16,0.01,0.01,,,,0.15,0.01,Carnes e derivados
375,"Carne, bovina, paleta, sem gordura, crua",2.7,2.1,0.1,0.01,0.15,1.33,1.11,0.01,,,,0.16,1.9,0.01,0.11,,0.01,,,,0.15,0.03,Carnes e derivados
376,"Carne, bovina, patinho, sem gordura, cru",2.0,1.9,0.2,,0.11,1.08,0.66,,0.01,,,0.17,1.65,0.01,0.1,0.02,0.03,,,,0.07,0.01,Carnes e derivados
377,"Carne, bovina, patinho, sem gordura, grelhado",3.1,3.1,0.3,0.01,0.15,1.59,1.13,0.01,0.01,0.01,,0.25,2.81,0.04,0.17,0.03,0.05,0.01,0.03,,0.11,0.01,Carnes e derivados
378,"Carne, bovina, peito, sem gordura, cozido",11.7,11.5,0.4,0.02,0.86,6.1,4.08,0.02,,,,1.09,10.21,0.07,0.32,0.1,0.02,,,,0.67,0.05,Carnes e derivados
379,"Carne, bovina, peito, sem gordura, cru",8.2,9.2,0.5,,0.56,4.4,2.62,0.02,,,,0.95,8.03,0.04,0.26,0.15,0.02,,,,0.54,0.04,Carnes e derivados
380,"Carne, bovina, picanha, com gordura, crua",6.1,6.7,0.3,,0.42,3.46,1.83,0.01,0.01,,,0.73,5.86,0.01,0.22,0.05,0.03,,,,0.22,0.03,Carnes e derivados
381,"Carne, bovina, picanha, com gordura, grelhada",7.9,9.2,0.4,,0.59,4.59,2.15,0.02,0.02,,,1.01,8.04,0.03,0.25,0.07,0.05,0.02,,,0.23,0.04,Carnes e derivados
382,"Carne, bovina, picanha, sem gordura, crua",2.0,2.1,0.1,1e-05,0.15,1.18,0.61,1e-05,1e-05,1e-05,,0.22,1.83,0.01,0.08,1e-05,0.01,,,,0.04,1e-05,Carnes e derivados
383,"Carne, bovina, picanha, sem gordura, grelhada",4.5,5.2,0.3,0.01,0.32,2.48,1.36,0.01,0.01,0.01,,0.51,4.64,,0.22,,0.04,,,,0.11,0.02,Carnes e derivados
384,"Carne, bovina, seca, cozida",10.5,8.3,0.4,0.03,0.68,5.11,4.42,0.04,,,0.12,0.59,7.52,0.03,0.24,0.08,0.05,,0.05,,0.71,0.22,Carnes e derivados
385,"Carne, bovina, seca, crua",8.7,7.5,0.3,0.02,0.7,4.45,3.05,0.03,,,0.18,0.4,6.76,0.04,0.18,0.1,0.03,,0.05,,0.59,0.07,Carnes e derivados
386,"Coxinha de frango, frita",2.6,3.4,4.7,0.01,0.03,1.76,0.65,0.05,0.06,0.02,,0.02,3.32,0.07,4.33,0.32,0.01,,,,0.45,0.13,Carnes e derivados
388,"Croquete, de carne, frito",5.083333333333333,7.353333333333333,11.54,,0.12666666666666668,3.1266666666666665,1.51,0.08,0.09666666666666668,0.04,,0.15666666666666665,7.096666666666667,0.07,10.473333333333334,1.0433333333333332,,,,,0.2733333333333334,,Carnes e derivados
390,"Empada, de frango, pré-cozida",5.4,5.2,1.4,,0.03,2.62,2.56,0.08,0.08,0.03,,0.04,5.12,0.03,1.22,0.07,,,,,6.21,0.96,Carnes e derivados
391,"Frango, asa, com pele, crua",4.4,6.6,3.0,,0.09,3.36,0.93,,0.03,,,0.8,5.75,,2.96,0.01,0.06,,,,0.03,0.01,Carnes e derivados
392,"Frango, caipira, inteiro, com pele, cozido",4.4,7.5,2.3,,0.09,3.23,1.0,0.01,1e-05,,,0.69,6.73,0.03,2.18,0.09,1e-05,,1e-05,1e-05,0.03,0.01,Carnes e derivados
393,"Frango, caipira, inteiro, sem pele, cozido",2.2,3.4,1.2,,0.04,1.57,0.59,0.01,1e-05,1e-05,,0.26,3.14,0.02,1.16,0.04,1e-05,,1e-05,1e-05,0.01,,Carnes e derivados
394,"Frango, coração, cru",4.9,6.3,3.4,,0.12,3.49,1.16,0.01,0.01,,,0.66,5.56,0.06,3.15,0.13,0.09,,,,0.09,,Carnes e derivados
395,"Frango, coração, grelhado",3.4996666666666667,4.259666666666667,1.5876666666666668,,0.05733333333333334,2.332,1.0336666666666667,0.019,0.019,0.009666666666666665,0.009666666666666665,0.369,0.08299999999999999,0.03833333333333333,1.4120000000000001,0.03833333333333333,0.083,,0.009666666666666665,,0.08299999999999999,0.019,Carnes e derivados
396,"Frango, coxa, com pele, assada",3.1,3.8,2.2,,0.06,2.28,0.76,0.02,1e-05,,0.01,0.38,3.35,0.02,2.11,0.09,1e-05,1e-05,,,0.12,0.02,Carnes e derivados
397,"Frango, coxa, com pele, crua",3.0,4.1,2.2,,0.05,2.24,0.68,0.01,0.02,,,0.45,3.61,0.02,2.0,0.09,0.05,,,,0.04,,Carnes e derivados
